"z","N","resourcebiomass","sd","se","ci","replicate","fit","se.fit"
3.8,500,0.881664,0.067614099394089,0.00302379444965221,0.00594093782753713,1,0.0638738412644394,0.000927723859357062
3.9,500,0.874578,0.0462173560906292,0.00206690299917921,0.00406090507080801,1,0.0643432199972753,0.000970740210994129
4,500,0.872726,0.0427169333730031,0.00191035933624729,0.00375333913527278,1,0.0650211811372849,0.000980026427948252
4.1,500,0.87559,0.0566192314920425,0.00253208900900008,0.00497486969657934,1,0.0660529616335732,0.00095153889659413
4.2,500,0.891826,0.0655409410514361,0.00293107999000635,0.00575877900370138,1,0.0674740490000993,0.000928807529713908
4.3,500,0.891866,0.0543852881129286,0.00243218402392839,0.00477858343610282,1,0.0692003968921462,0.000969180295823646
4.4,500,0.893476,0.0883861394297012,0.00395274832067173,0.00776608080080097,1,0.0710486829902366,0.00106755944285561
4.5,500,0.881756,0.078046928896789,0.00349036476896626,0.00685762224685596,1,0.0727862046839955,0.0011475197823188
4.6,500,0.880602,0.106597362027315,0.0047671789543046,0.00936621660362021,1,0.074201503233319,0.0011415091355605
4.7,500,0.874856,0.0640895170553873,0.00286617033561957,0.00563124909796881,1,0.0751732283054239,0.00107067804578133
4.8,500,0.873584,0.0545753045959753,0.00244068181938715,0.00479527930459924,1,0.0757074986276278,0.00109787337854027
4.9,500,0.880916,0.100226081829821,0.00448224664179871,0.00880640171479779,1,0.0759235891361279,0.00140054290687634
5,500,0.873554,0.040359197385816,0.00180491817744033,0.00354617579154494,1,0.075990200889738,0.00193056198561375
0.1,500,0.870628,0.0207714352186382,0.000928926822782165,0.00182508983079693,2,0.0315645010088809,0.000801908996543963
0.2,500,0.872914,0.0163780060497097,0.000732446697261076,0.0014390595534407,2,0.0268453485967675,0.000495209235859529
0.3,500,0.874586,0.0123586437828875,0.000552695352164834,0.00108589680266054,2,0.0230875780727236,0.000334804844969253
0.4,500,0.873722,0.0168688420368242,0.000754397549920898,0.00148218703881869,2,0.0203556287782324,0.000289921363392627
0.5,500,0.876186,0.01431773022506,0.000640308361334748,0.00125803265680954,2,0.0186348915623315,0.00028667746651521
0.6,500,0.875608,0.0286904971244923,0.00128307803757254,0.00252090113134958,2,0.0178546459691353,0.000281489597442328
0.7,500,0.878216,0.020004742523884,0.000894639283115708,0.00175772409386959,2,0.0179232849459454,0.000269310721687351
0.8,500,0.882254,0.0234906173227612,0.00105053234334256,0.0020640117711483,2,0.01873868360884,0.000262443045690363
0.9,500,0.874358,0.0191415420817272,0.000856035785778297,0.00168187866805586,2,0.0201721400506218,0.000277677653069234
1,500,0.872996,0.0305468526105198,0.00136609677871578,0.0026840104920765,2,0.0220435691042907,0.000317552959075939
1.1,500,0.875624,0.0318741674259611,0.00142545610181317,0.00280063549879507,2,0.0241149818428811,0.000363471088992404
1.2,500,0.880686,0.0239149169034936,0.00106950759744941,0.00210129301059348,2,0.0261244893789904,0.000394137755819425
1.3,500,0.882172,0.0195413957612191,0.000873917785946245,0.00171701195935547,2,0.027857331307994,0.000404608684883444
1.4,500,0.887572,0.0480578811005203,0.00214921377990731,0.00422262348089965,2,0.029217276029791,0.0004099998936883
1.5,500,0.87384,0.0305752857090884,0.00136736834553999,0.00268650877678863,2,0.0302536461702641,0.000428002154689939
1.6,500,0.87586,0.0196612698232369,0.000879278716974458,0.00172754473810966,2,0.0311288852836998,0.000456805524364483
1.7,500,0.878272,0.0510896694513607,0.00228479947682474,0.00448901268463086,2,0.0320501346044927,0.000480619096789309
1.8,500,0.872496,0.0199665548009977,0.000892931476230111,0.00175436871548732,2,0.033200581620996,0.000490919321343353
1.9,500,0.878196,0.0495126305620126,0.00221427215362987,0.00435044557988222,2,0.0346914230527737,0.000495995419844147
2,500,0.871396,0.0233502387847021,0.00104425442426892,0.00205167735903007,2,0.0365371228260873,0.000514461805996022
2.1,500,0.875362,0.0201891594753383,0.000902886659908808,0.00177392795745354,2,0.0386514943797005,0.000555516735642632
2.2,500,0.884594,0.0419601056353515,0.00187651297087436,0.00368684018644648,2,0.0408667419571975,0.000605466744998868
2.3,500,0.878024,0.027667497263208,0.00123732809295645,0.00243101487052628,2,0.0429790157575415,0.000641030882426184
2.4,500,0.869332,0.0341561570163309,0.00152750977877344,0.00300114335737729,2,0.0448138263481287,0.000652992956946802
2.5,500,0.869948,0.0306611400149118,0.00137120786681964,0.00269405239709407,2,0.0462883006261958,0.000655725996540721
2.6,500,0.87821,0.0543064294218751,0.00242865735605215,0.00477165448807411,2,0.0474412396966164,0.000672058679111758
2.7,500,0.875972,0.0437356700379374,0.00195591862492658,0.00384285080877347,2,0.0484163522651623,0.000705486221698638
2.8,500,0.874226,0.0426674107473111,0.00190814461709785,0.0037489878114671,2,0.0494087821431057,0.000736930677880728
2.9,500,0.885908,0.069006400446663,0.00308606004562621,0.00606327287399461,2,0.0505999862482534,0.000749670942764838
3,500,0.872984,0.0406199421886198,0.00181657903951731,0.00356908622999184,2,0.0521031878945779,0.000748850550808
3.1,500,0.880418,0.077861209931673,0.00348205916435205,0.0068413039813605,2,0.0539304821274306,0.000759369405346298
3.2,500,0.88838,0.112323179233791,0.00502324528431299,0.00986931764823005,2,0.0559855406955244,0.00080044487423444
3.3,500,0.890124,0.0659869773998836,0.00295102734191764,0.00579797015227386,2,0.0580848757440401,0.000858870127822272
3.4,500,0.899464,0.0545185955295717,0.00243814571283877,0.00479029654152496,2,0.0600084005531441,0.000899877134044055
3.5,500,0.864946,0.0398761997513959,0.00178331786656963,0.00350373702592281,2,0.061569859991353,0.000903516201175594
3.6,500,0.87686,0.0938292078218769,0.00419616973929343,0.00824433801636295,2,0.062683259544714,0.000886787992333516
3.7,500,0.87149,0.087112404639547,0.0038957851691499,0.00765416362280276,2,0.0633961398604284,0.000889624706167696
3.8,500,0.872234,0.0760914124596212,0.00340291141527375,0.00668580007251585,2,0.0638738412644394,0.000927723859357062
3.9,500,0.87393,0.0729887650233875,0.00326415680372107,0.00641318480906322,2,0.0643432199972753,0.000970740210994129
4,500,0.865158,0.0538375519502884,0.00240768851806042,0.00473045639577691,2,0.0650211811372849,0.000980026427948252
4.1,500,0.88662,0.0673482826979629,0.00301190676561036,0.00591758174530934,2,0.0660529616335732,0.00095153889659413
4.2,500,0.873198,0.0550784719481604,0.00246318414745804,0.00483949028992576,2,0.0674740490000993,0.000928807529713908
4.3,500,0.887352,0.0574590216967597,0.0025696455686918,0.00504865817323005,2,0.0692003968921462,0.000969180295823646
4.4,500,0.873554,0.0277263156795548,0.00123995853250206,0.00243618297241275,2,0.0710486829902366,0.00106755944285561
4.5,500,0.872224,0.0377170382446434,0.00168675722849964,0.00331402150229418,2,0.0727862046839955,0.0011475197823188
4.6,500,0.89621,0.0881529567715976,0.00394232007517785,0.00774559212038272,2,0.074201503233319,0.0011415091355605
4.7,500,0.88565,0.0536302891641623,0.00239841944448075,0.00471224517448769,2,0.0751732283054239,0.00107067804578133
4.8,500,0.876242,0.0720180855430813,0.00322074669767449,0.00632789569784762,2,0.0757074986276278,0.00109787337854027
4.9,500,0.878324,0.0552609316346572,0.00247134399270124,0.00485552217770099,2,0.0759235891361279,0.00140054290687634
5,500,0.885816,0.0711312692064315,0.00318108706542837,0.00624997525273789,2,0.075990200889738,0.00193056198561375
0.1,500,0.876434,0.0374262353193634,0.00167375212632,0.00328846999580904,3,0.0315645010088809,0.000801908996543963
0.2,500,0.870756,0.0255427745294305,0.00114230760363514,0.00224432532241066,3,0.0268453485967675,0.000495209235859529
0.3,500,0.87444,0.0163284916412557,0.000730232345597697,0.00143470895164567,3,0.0230875780727236,0.000334804844969253
0.4,500,0.87583,0.0158335878754634,0.000708099576345051,0.00139122404939105,3,0.0203556287782324,0.000289921363392627
0.5,500,0.88002,0.0155968626412012,0.000697512902029055,0.0013704240992096,3,0.0186348915623315,0.00028667746651521
0.6,500,0.873992,0.0179673478057934,0.000803524221382715,0.00157870765412112,3,0.0178546459691353,0.000281489597442328
0.7,500,0.875506,0.0181824962626335,0.000813145952877688,0.00159761175278148,3,0.0179232849459454,0.000269310721687351
0.8,500,0.876164,0.0176832830945502,0.000790820461295741,0.00155374820330218,3,0.01873868360884,0.000262443045690363
0.9,500,0.877378,0.0111144130008159,0.000497051659996636,0.000976572005234609,3,0.0201721400506218,0.000277677653069234
1,500,0.870812,0.023313250981849,0.00104260027943856,0.00204842741206492,3,0.0220435691042907,0.000317552959075939
1.1,500,0.873158,0.0280337085243329,0.00125370555843647,0.00246319215830477,3,0.0241149818428811,0.000363471088992404
1.2,500,0.87198,0.021141369752929,0.000945470798100143,0.00185759426534794,3,0.0261244893789904,0.000394137755819425
1.3,500,0.870014,0.0291038119107355,0.00130156203673545,0.00255721718776794,3,0.027857331307994,0.000404608684883444
1.4,500,0.87647,0.0124841021147387,0.000558306019332091,0.0010969202453471,3,0.029217276029791,0.0004099998936883
1.5,500,0.870258,0.0342812170098927,0.00153310263171085,0.00301213179992287,3,0.0302536461702641,0.000428002154689939
1.6,500,0.879902,0.0180413796245607,0.000806835024967949,0.00158521248723281,3,0.0311288852836998,0.000456805524364483
1.7,500,0.872388,0.0374821995962503,0.00167625492486862,0.00329338731767723,3,0.0320501346044927,0.000480619096789309
1.8,500,0.880318,0.042917276956054,0.00191931897365844,0.00377094239822706,3,0.033200581620996,0.000490919321343353
1.9,500,0.877694,0.0389048008742125,0.00173987558811665,0.00341838470463477,3,0.0346914230527737,0.000495995419844147
2,500,0.870602,0.0512626502887751,0.00229253541505001,0.00450421170982891,3,0.0365371228260873,0.000514461805996022
2.1,500,0.881836,0.0413303944696156,0.00184835143141884,0.00363151038218275,3,0.0386514943797005,0.000555516735642632
2.2,500,0.873616,0.0698892951112135,0.00312554429536434,0.00614084873993622,3,0.0408667419571975,0.000605466744998868
2.3,500,0.879036,0.0310899319996601,0.00139038402734172,0.0027317283632781,3,0.0429790157575415,0.000641030882426184
2.4,500,0.87776,0.0860169298710951,0.00384679404815202,0.00755790932748078,3,0.0448138263481287,0.000652992956946802
2.5,500,0.884044,0.0486376531774841,0.00217514197541826,0.00427356536867528,3,0.0462883006261958,0.000655725996540721
2.6,500,0.880094,0.0381912858205278,0.00170796622485648,0.00335569144078982,3,0.0474412396966164,0.000672058679111758
2.7,500,0.881558,0.0579941832132598,0.00259357871928852,0.00509568033762637,3,0.0484163522651623,0.000705486221698638
2.8,500,0.866082,0.0393189424383329,0.00175839656191027,0.00345477340619682,3,0.0494087821431057,0.000736930677880728
2.9,500,0.868946,0.0694622566160097,0.00310644655327864,0.00610332684475895,3,0.0505999862482534,0.000749670942764838
3,500,0.874496,0.0444393485032216,0.00198738808258014,0.00390467977714387,3,0.0521031878945779,0.000748850550808
3.1,500,0.891344,0.0769152362743708,0.00343975393629902,0.00675818565641227,3,0.0539304821274306,0.000759369405346298
3.2,500,0.87128,0.063240907843339,0.00282821937793011,0.00555668573598021,3,0.0559855406955244,0.00080044487423444
3.3,500,0.887222,0.048021211871205,0.00214757388211868,0.00421940152551611,3,0.0580848757440401,0.000858870127822272
3.4,500,0.881858,0.0808677501977401,0.00361651573259238,0.00710547475279361,3,0.0600084005531441,0.000899877134044055
3.5,500,0.886246,0.0697806862415718,0.00312068715905478,0.00613130578147279,3,0.061569859991353,0.000903516201175594
3.6,500,0.868,0.0598807766718975,0.00267794974367693,0.00526144656899,3,0.062683259544714,0.000886787992333516
3.7,500,0.876348,0.0943433316374236,0.00421916205530172,0.0082895116953913,3,0.0633961398604284,0.000889624706167696
3.8,500,0.881558,0.0824309186452353,0.00368642275077002,0.00724282312604354,3,0.0638738412644394,0.000927723859357062
3.9,500,0.888016,0.0857302460872963,0.0038339731595796,0.00753271975088396,3,0.0643432199972753,0.000970740210994129
4,500,0.880484,0.0897805035720077,0.00401510618082344,0.00788859712140014,3,0.0650211811372849,0.000980026427948252
4.1,500,0.884278,0.0839088678997902,0.00375251865077962,0.00737268368341618,3,0.0660529616335732,0.00095153889659413
4.2,500,0.870732,0.064350214266561,0.00287782906933414,0.00565415535475953,3,0.0674740490000993,0.000928807529713908
4.3,500,0.883268,0.0620629664099227,0.00277554023555747,0.00545318547666865,3,0.0692003968921462,0.000969180295823646
4.4,500,0.877774,0.0547305196719996,0.00244762324860961,0.00480891733460807,3,0.0710486829902366,0.00106755944285561
4.5,500,0.862478,0.0712552885637031,0.00318663337969607,0.0062608722593913,3,0.0727862046839955,0.0011475197823188
4.6,500,0.8845,0.0825380097051788,0.00369121200856634,0.00725223272159699,3,0.074201503233319,0.0011415091355605
4.7,500,0.89071,0.0779246456572091,0.00348489609624207,0.00684687778482505,3,0.0751732283054239,0.00107067804578133
4.8,500,0.864018,0.0586727420299634,0.00262392479210614,0.0051553021587922,3,0.0757074986276278,0.00109787337854027
4.9,500,0.898652,0.11234194372825,0.00502408445801646,0.00987096639746939,3,0.0759235891361279,0.00140054290687634
5,500,0.882878,0.0982904325673081,0.0043956817751672,0.00863632517709994,3,0.075990200889738,0.00193056198561375
0.1,500,0.88032,0.0541228247629467,0.00242044630608516,0.00475552199687309,4,0.0315645010088809,0.000801908996543963
0.2,500,0.869444,0.0190235289393586,0.000850758077606805,0.00167150939969428,4,0.0268453485967675,0.000495209235859529
0.3,500,0.880734,0.039766493332754,0.0017784116463766,0.00349409763091091,4,0.0230875780727236,0.000334804844969253
0.4,500,0.870468,0.0126774765953502,0.000566953989007312,0.00111391116554038,4,0.0203556287782324,0.000289921363392627
0.5,500,0.871062,0.0106576417022391,0.000476624226520866,0.000936437626302319,4,0.0186348915623315,0.00028667746651521
0.6,500,0.873918,0.015501608811717,0.00069325302127218,0.00136205458628447,4,0.0178546459691353,0.000281489597442328
0.7,500,0.87046,0.0117270391358513,0.000524449133651278,0.0010304006269627,4,0.0179232849459454,0.000269310721687351
0.8,500,0.877686,0.0131825248690775,0.000589540434446778,0.00115828741873324,4,0.01873868360884,0.000262443045690363
0.9,500,0.873126,0.0294517390635551,0.0013171218120339,0.00258778793561397,4,0.0201721400506218,0.000277677653069234
1,500,0.880158,0.017521731025108,0.000783595633112172,0.00153955337102509,4,0.0220435691042907,0.000317552959075939
1.1,500,0.880256,0.0244409735152417,0.00109303356432705,0.00214751516916938,4,0.0241149818428811,0.000363471088992404
1.2,500,0.876202,0.0348225561501976,0.00155731205404291,0.00305969676351751,4,0.0261244893789904,0.000394137755819425
1.3,500,0.878936,0.0188714643930108,0.000843957544354778,0.00165814819213963,4,0.027857331307994,0.000404608684883444
1.4,500,0.876104,0.0288221202069947,0.00128896440077021,0.00253246624213007,4,0.029217276029791,0.0004099998936883
1.5,500,0.870046,0.0495650003785438,0.00221661420302454,0.00435504707316306,4,0.0302536461702641,0.000428002154689939
1.6,500,0.865972,0.0288272307804433,0.00128919295256291,0.00253291528455455,4,0.0311288852836998,0.000456805524364483
1.7,500,0.875982,0.0211625466984844,0.000946417859896495,0.00185945498549431,4,0.0320501346044927,0.000480619096789309
1.8,500,0.873232,0.0415967156095166,0.00186026167487211,0.00365491078754922,4,0.033200581620996,0.000490919321343353
1.9,500,0.875098,0.0348011297699735,0.00155635383718905,0.00305781412670179,4,0.0346914230527737,0.000495995419844147
2,500,0.874,0.0314010836773546,0.00140429915339448,0.00275906782041326,4,0.0365371228260873,0.000514461805996022
2.1,500,0.872108,0.0318458891745015,0.0014241914599622,0.0027981508197814,4,0.0386514943797005,0.000555516735642632
2.2,500,0.884822,0.0585622864888112,0.00261898507013599,0.00514559694185412,4,0.0408667419571975,0.000605466744998868
2.3,500,0.880198,0.0230143894170686,0.00102923478394434,0.00202216783024232,4,0.0429790157575415,0.000641030882426184
2.4,500,0.871822,0.042727339808772,0.00191082472620294,0.00375425350059692,4,0.0448138263481287,0.000652992956946802
2.5,500,0.886598,0.0777718027475589,0.00347806075352493,0.00683344818609122,4,0.0462883006261958,0.000655725996540721
2.6,500,0.868236,0.0300272472123287,0.00134285931887916,0.00263835517176359,4,0.0474412396966164,0.000672058679111758
2.7,500,0.875368,0.0426461012979126,0.00190719162954949,0.00374711544882159,4,0.0484163522651623,0.000705486221698638
2.8,500,0.870856,0.0431722474501826,0.00193072160080101,0.00379334547490854,4,0.0494087821431057,0.000736930677880728
2.9,500,0.873448,0.0611972344064501,0.00273682352335623,0.00537711761428446,4,0.0505999862482534,0.000749670942764838
3,500,0.87736,0.0507911595040666,0.00227144970614255,0.00446278399780861,4,0.0521031878945779,0.000748850550808
3.1,500,0.876302,0.0423339476336012,0.00189323169329297,0.00371968795176209,4,0.0539304821274306,0.000759369405346298
3.2,500,0.872626,0.0609724643327923,0.0027267715000761,0.0053573681087071,4,0.0559855406955244,0.00080044487423444
3.3,500,0.87299,0.0649786915897931,0.00290593542967542,0.00570937674699574,4,0.0580848757440401,0.000858870127822272
3.4,500,0.872202,0.0359953959981847,0.0016097630465793,0.00316274877014023,4,0.0600084005531441,0.000899877134044055
3.5,500,0.88185,0.0596212788674277,0.0026663446490608,0.0052386456985125,4,0.061569859991353,0.000903516201175594
3.6,500,0.884256,0.0670049983479383,0.00299655462276502,0.00588741893904646,4,0.062683259544714,0.000886787992333516
3.7,500,0.884844,0.0764536328761421,0.00341911040475733,0.00671762670325854,4,0.0633961398604284,0.000889624706167696
3.8,500,0.873902,0.0645592145271356,0.00288717584513334,0.0056725192398832,4,0.0638738412644394,0.000927723859357062
3.9,500,0.892312,0.0852984308214471,0.00381466179381638,0.00749477814298886,4,0.0643432199972753,0.000970740210994129
4,500,0.874034,0.056320412122456,0.0025187254005323,0.00494861382225304,4,0.0650211811372849,0.000980026427948252
4.1,500,0.868612,0.0358685735028627,0.00160409137216697,0.00315160546472622,4,0.0660529616335732,0.00095153889659413
4.2,500,0.889074,0.0775204965074239,0.0034668219968027,0.00681136707044088,4,0.0674740490000993,0.000928807529713908
4.3,500,0.868324,0.0482291522448042,0.00215687325833138,0.00423767228327904,4,0.0692003968921462,0.000969180295823646
4.4,500,0.874056,0.0692432677178691,0.00309665307202744,0.00608408530430463,4,0.0710486829902366,0.00106755944285561
4.5,500,0.88673,0.0882856376066641,0.00394825374250826,0.00775725017098311,4,0.0727862046839955,0.0011475197823188
4.6,500,0.882016,0.0631260766014663,0.00282308396867475,0.00554659604648145,4,0.074201503233319,0.0011415091355605
4.7,500,0.874486,0.070910241352412,0.00317120239929819,0.00623055455867184,4,0.0751732283054239,0.00107067804578133
4.8,500,0.886658,0.0878234761434769,0.00392758525354291,0.00771664218324558,4,0.0757074986276278,0.00109787337854027
4.9,500,0.884996,0.088180130726314,0.00394353533137712,0.007747979769955,4,0.0759235891361279,0.00140054290687634
5,500,0.885536,0.0510538705623658,0.00228319850183851,0.00448586720202117,4,0.075990200889738,0.00193056198561375
0.1,500,0.873506,0.0261194643289955,0.0011680979555103,0.00229499638474371,5,0.0315645010088809,0.000801908996543963
0.2,500,0.872928,0.0248436960710144,0.00111104386454265,0.0021829005353435,5,0.0268453485967675,0.000495209235859529
0.3,500,0.881446,0.0345782937809488,0.0015463883088032,0.00303823456018538,5,0.0230875780727236,0.000334804844969253
0.4,500,0.878264,0.0189322784242327,0.000846677230510736,0.0016634916394645,5,0.0203556287782324,0.000289921363392627
0.5,500,0.881082,0.0110095274826298,0.000492361037026249,0.000967356200422649,5,0.0186348915623315,0.00028667746651521
0.6,500,0.872588,0.0174976166713743,0.000782517206428532,0.00153743455442372,5,0.0178546459691353,0.000281489597442328
0.7,500,0.879172,0.0260478674520122,0.00116489604583207,0.00228870549869161,5,0.0179232849459454,0.000269310721687351
0.8,500,0.874288,0.0188017037559966,0.00084083775382443,0.00165201864799093,5,0.01873868360884,0.000262443045690363
0.9,500,0.874326,0.0161913570798799,0.000724099501571679,0.00142265957273741,5,0.0201721400506218,0.000277677653069234
1,500,0.871604,0.0223283742487712,0.000998555252946162,0.00196189085398847,5,0.0220435691042907,0.000317552959075939
1.1,500,0.881172,0.0278842155161285,0.00124702002786635,0.00245005689989931,5,0.0241149818428811,0.000363471088992404
1.2,500,0.876012,0.0290629862598578,0.00129973625812369,0.00255363002686797,5,0.0261244893789904,0.000394137755819425
1.3,500,0.878082,0.0203078332715327,0.00090819391341758,0.00178435527440765,5,0.027857331307994,0.000404608684883444
1.4,500,0.876436,0.0169618782753933,0.000758558256997126,0.00149036170229865,5,0.029217276029791,0.0004099998936883
1.5,500,0.882382,0.0399268880427408,0.00178558471587184,0.0035081907713718,5,0.0302536461702641,0.000428002154689939
1.6,500,0.87815,0.032314826256565,0.00144516296381549,0.00283935414977517,5,0.0311288852836998,0.000456805524364483
1.7,500,0.878556,0.0460097887990226,0.00205762030770046,0.00404266709403222,5,0.0320501346044927,0.000480619096789309
1.8,500,0.872568,0.0282523231527436,0.00126348230183652,0.00248240081341099,5,0.033200581620996,0.000490919321343353
1.9,500,0.873972,0.0257090085815165,0.00114974181644793,0.00225893153882281,5,0.0346914230527737,0.000495995419844147
2,500,0.886166,0.0414670166631491,0.00185446136165836,0.00364351474170122,5,0.0365371228260873,0.000514461805996022
2.1,500,0.873974,0.053243544905916,0.00238112371545382,0.00467826374732992,5,0.0386514943797005,0.000555516735642632
2.2,500,0.881332,0.0290178194164788,0.0012977163354812,0.00254966142548475,5,0.0408667419571975,0.000605466744998868
2.3,500,0.88121,0.0435501910245702,0.0019476237512808,0.00382655362672709,5,0.0429790157575415,0.000641030882426184
2.4,500,0.870132,0.0328503404203284,0.00146911188527727,0.00288640729965358,5,0.0448138263481287,0.000652992956946802
2.5,500,0.874006,0.0268750907907307,0.00120189059819105,0.00236138978301773,5,0.0462883006261958,0.000655725996540721
2.6,500,0.87787,0.0348333723267689,0.00155779576816431,0.00306064713086866,5,0.0474412396966164,0.000672058679111758
2.7,500,0.882036,0.0721718800124332,0.00322762459543518,0.00634140890572625,5,0.0484163522651623,0.000705486221698638
2.8,500,0.883968,0.0578977311346574,0.002589265251202,0.00508720554009969,5,0.0494087821431057,0.000736930677880728
2.9,500,0.874132,0.0333670090146115,0.00149221800725039,0.00293180457660592,5,0.0505999862482534,0.000749670942764838
3,500,0.882728,0.0691757514246888,0.00309363365160464,0.00607815296025621,5,0.0521031878945779,0.000748850550808
3.1,500,0.886334,0.0901335373382528,0.00403089433081697,0.00791961656372176,5,0.0539304821274306,0.000759369405346298
3.2,500,0.877774,0.0681709136724885,0.00304869594119908,0.00598986251985871,5,0.0559855406955244,0.00080044487423444
3.3,500,0.883384,0.0503076760399154,0.00224982766830576,0.00442030254457763,5,0.0580848757440401,0.000858870127822272
3.4,500,0.894498,0.0516483601114731,0.00230978488271285,0.00453810224592499,5,0.0600084005531441,0.000899877134044055
3.5,500,0.874522,0.044261401461303,0.00197943004893764,0.00388904439455198,5,0.061569859991353,0.000903516201175594
3.6,500,0.877166,0.0440594702400707,0.00197039941018854,0.00387130163318223,5,0.062683259544714,0.000886787992333516
3.7,500,0.881832,0.073471163047819,0.00328573029921788,0.00645557088973213,5,0.0633961398604284,0.000889624706167696
3.8,500,0.877418,0.0599106488672539,0.00267928566886601,0.00526407130047316,5,0.0638738412644394,0.000927723859357062
3.9,500,0.875934,0.0511113135886127,0.00228576743206894,0.00449091445474829,5,0.0643432199972753,0.000970740210994129
4,500,0.872802,0.0668727951971125,0.0029906423181233,0.0058758028603484,5,0.0650211811372849,0.000980026427948252
4.1,500,0.88356,0.0618508646578028,0.00276605475683973,0.00543454907784431,5,0.0660529616335732,0.00095153889659413
4.2,500,0.875334,0.0727869929085777,0.0032551332804275,0.00639545602763808,5,0.0674740490000993,0.000928807529713908
